place_id,place_name,lat,lng,num_of_rack,datetime_start,datetime_end
0102,Szilágyi Dezső tér,47.5034243929,19.0397143364,15.0,2015-01-01 00:00:01,2015-05-31 23:55:03
0103,Clark Ádám tér,47.4975859462,19.040915966,15.0,2015-01-01 00:00:01,2015-05-22 15:35:03
0103,Clark Ádám tér,47.4975859462,19.040915966,16.0,2015-05-22 15:40:02,2015-05-31 23:55:03
0104,Döbrentei tér,47.4912792595,19.0451163054,22.0,2015-01-01 00:00:01,2015-05-31 23:55:03
0105,Déli pályaudvar,47.4998583425,19.0254878998,28.0,2015-01-01 00:00:01,2015-05-31 23:55:03
0201,Margit híd -  Buda,47.5150015146,19.0398055315,15.0,2015-01-01 00:00:01,2015-05-31 23:55:03
0202,Horvát utca,47.5103745958,19.034371376,15.0,2015-01-01 00:00:01,2015-05-31 23:55:03
0203,Bem József tér,47.5121971505,19.0382552147,15.0,2015-01-01 00:00:01,2015-05-31 23:55:03
0204,Széna tér,47.50785625,19.0270650387,22.0,2015-01-01 00:00:01,2015-05-31 23:55:03
0501,Szent István körút - Vígszínház,47.5118927918,19.0514194965,22.0,2015-01-01 00:00:01,2015-05-31 23:55:03
0502,Szalay utca - Falk Miksa utca,47.5085845898,19.0482115746,14.0,2015-01-01 00:00:01,2015-05-31 23:55:03
0503,Bajcsy-Zsilinszky út - Kálmán Imre utca,47.5069430934,19.0548527241,15.0,2015-01-01 00:00:01,2015-05-31 23:55:03
0504,Vécsey utca,47.5054211304,19.0487104654,22.0,2015-01-01 00:00:01,2015-05-31 23:55:03
0505,Podmaniczky tér,47.5032540687,19.0542519093,30.0,2015-01-01 00:00:01,2015-05-31 23:55:03
0506,Szabadság tér,47.5028952991,19.0514302254,22.0,2015-01-01 00:00:01,2015-05-31 23:55:03
0507,Akadémia,47.5007607501,19.0472406149,15.0,2015-01-01 00:00:01,2015-05-31 23:55:03
0508,Erzsébet tér,47.499100888,19.0544986725,15.0,2015-01-01 00:00:01,2015-05-08 12:50:02
0508,Erzsébet tér,47.499100888,19.0544986725,17.0,2015-05-08 12:55:02,2015-05-31 23:55:03
0509,Apáczai Csere János utca,47.4974880896,19.0480130911,15.0,2015-01-01 00:00:01,2015-05-31 23:55:03
0510,József nádor tér,47.4977309186,19.0502661467,22.0,2015-01-01 00:00:01,2015-05-31 23:55:03
0511,Vigadó tér,47.495987599,19.0488177538,22.0,2015-01-01 00:00:01,2015-05-31 23:55:03
0512,Vitkovics Mihály utca - Városház utca,47.4946682916,19.0561294556,15.0,2015-01-01 00:00:01,2015-05-31 23:55:03
0513,Március 15. tér,47.4916526074,19.0529698133,22.0,2015-01-01 00:00:01,2015-05-31 23:55:03
0514,Károlyi utca,47.4912973832,19.0582430363,22.0,2015-01-01 00:00:01,2015-05-31 23:55:03
0515,Fővám tér,47.4871505067,19.057213068,30.0,2015-01-01 00:00:01,2015-05-31 23:55:03
0516,Ferenciek tere,47.4925370328,19.0566176176,15.0,2015-01-01 00:00:01,2015-05-31 23:55:03
0517,Városháza Park,47.4970676666,19.055120945,22.0,2015-01-01 00:00:01,2015-05-27 15:25:02
0517,Városháza Park,47.4970676666,19.055120945,29.0,2015-05-27 15:30:03,2015-05-31 23:55:03
0518,Deák tér,47.4978541448,19.0535491705,15.0,2015-01-01 00:00:01,2015-05-11 12:40:02
0518,Deák tér,47.4978541448,19.0535491705,18.0,2015-05-11 12:45:02,2015-05-31 23:55:03
0601,Teréz körút - Király utca ,47.5035693492,19.0655601025,22.0,2015-01-01 00:00:01,2015-05-31 23:55:03
0602,Hősök tere,47.5142370322,19.0766644478,22.0,2015-01-01 00:00:01,2015-05-31 23:55:03
0603,Nyugati pályaudvar,47.5112659525,19.0574920177,22.0,2015-01-01 00:00:01,2015-05-31 23:55:03
0604,Kodály körönd,47.5092948019,19.0691006184,18.0,2015-01-01 00:00:01,2015-05-31 23:55:03
0605,Teréz körút - Szondi utca,47.5077439181,19.0595519543,22.0,2015-01-01 00:00:01,2015-05-31 23:55:03
0606,Lövölde tér,47.5077910251,19.0728986263,16.0,2015-01-01 00:00:01,2015-05-31 23:55:03
0607,Oktogon,47.5057581403,19.0638327599,30.0,2015-01-01 00:00:01,2015-05-31 23:55:03
0608,Jókai utca - Zichy Jenő utca,47.5064611432,19.0600562096,15.0,2015-01-01 00:00:01,2015-05-31 23:55:03
0609,Andrássy út - Nagymező utca,47.5034280168,19.0607964993,22.0,2015-01-01 00:00:01,2015-05-31 23:55:03
0610,Andrássy út - Káldy Gyula utca,47.5006882681,19.056724906,15.0,2015-01-01 00:00:01,2015-05-31 23:55:03
0611,Nyugati tér,47.510113708,19.0555661917,30.0,2015-01-01 00:00:01,2015-03-31 08:50:02
0611,Nyugati tér,47.5097586087,19.055351615,30.0,2015-04-02 18:00:01,2015-04-04 22:25:02
0611,Nyugati tér,47.5096752687,19.0553086996,30.0,2015-04-04 22:30:02,2015-05-31 23:55:03
0612,Városligeti fasor - Dózsa György út,47.511135511,19.0803337097,15.0,2015-01-01 00:00:01,2015-05-31 23:55:03
0701,Gozsdu udvar,47.4987348414,19.0594768524,15.0,2015-01-01 00:00:01,2015-05-31 23:55:03
0702,Dózsa György út - Dembinszky utca,47.5079178513,19.0841639042,15.0,2015-01-01 00:00:01,2015-05-31 23:55:03
0703,Garay tér,47.5044898122,19.0854084492,15.0,2015-01-01 00:00:01,2015-05-31 23:55:03
0704,Klauzál tér,47.5002678707,19.0637040138,15.0,2015-01-01 00:00:01,2015-05-31 23:55:03
0705,Erzsébet körút - Wesselényi utca,47.5006049137,19.068403244,21.0,2015-01-01 00:00:01,2015-05-31 23:55:03
0706,Rózsák tere,47.5014819402,19.0752911568,15.0,2015-01-01 00:00:01,2015-05-31 23:55:03
0707,Kéthly Anna tér,47.4981404634,19.065527916,15.0,2015-01-01 00:00:01,2015-05-21 16:35:02
0707,Kéthly Anna tér,47.4981404634,19.065527916,17.0,2015-05-21 16:40:02,2015-05-27 16:25:02
0707,Kéthly Anna tér,47.4981404634,19.065527916,18.0,2015-05-27 16:30:02,2015-05-31 23:55:03
0708,Wesselényi utca - Síp utca,47.4970386718,19.0620732307,15.0,2015-01-01 00:00:01,2015-05-31 23:55:03
0709,Rumbach Sebestyén utca - BKK,47.4984304048,19.0572720766,15.0,2015-01-01 00:00:01,2015-05-31 23:55:03
0801,Gyulai Pál utca - Rákóczi út,47.4958272251,19.0667319819,22.0,2015-01-01 00:00:01,2015-05-31 23:55:03
0802,Astoria,47.4942152251,19.0603512526,22.0,2015-01-01 00:00:01,2015-05-31 23:55:03
0803,Kőfaragó utca - Vas utca,47.4937331581,19.066799283,15.0,2015-01-01 00:00:01,2015-05-31 23:55:03
0804,Rákóczi tér,47.4927545121,19.0713107586,22.0,2015-01-01 00:00:01,2015-05-31 23:55:03
0805,Bródy Sándor utca - Múzeum körút,47.4919607081,19.0623307228,15.0,2015-01-01 00:00:01,2015-05-31 23:55:03
0806,József körút - Baross utca,47.48955385,19.0705007315,15.0,2015-01-01 00:00:01,2015-05-11 14:45:02
0806,József körút - Baross utca,47.48955385,19.0705007315,21.0,2015-05-11 14:50:02,2015-05-31 23:55:03
0807,Mikszáth Kálmán tér,47.4897459678,19.0665310621,15.0,2015-01-01 00:00:01,2015-05-31 23:55:03
0808,Keleti pályaudvar,47.5009020896,19.0831124783,24.0,2015-01-01 00:00:01,2015-03-19 21:30:01
0808,Keleti pályaudvar,47.5009020896,19.0831124783,30.0,2015-03-19 21:35:02,2015-05-23 14:50:03
0808,Keleti pályaudvar,47.5009020896,19.0831124783,36.0,2015-05-23 14:55:02,2015-05-31 23:55:03
0809,Blaha Lujza tér,47.4963500402,19.0700232983,20.0,2015-01-01 00:00:01,2015-05-31 23:55:03
0901,Markusovszky tér,47.4864037441,19.0656620264,15.0,2015-01-01 00:00:01,2015-05-31 23:55:03
0902,Üllői út - Ferenc Körút ,47.4858237271,19.0694224834,22.0,2015-01-01 00:00:01,2015-05-31 23:55:03
0903,Corvinus Egyetem,47.4848195573,19.0597397089,22.0,2015-01-01 00:00:01,2015-05-31 23:55:03
0904,Boráros tér,47.4795808879,19.0661180019,22.0,2015-01-01 00:00:01,2015-05-31 23:55:03
0905,Kálvin tér,47.4897314683,19.0613865852,30.0,2015-01-01 00:00:01,2015-05-31 23:55:03
1101,Szent Gellért tér,47.4845041643,19.0534579754,22.0,2015-01-01 00:00:01,2015-05-31 23:55:03
1102,Műegyetem,47.4815966592,19.0568161011,30.0,2015-01-01 00:00:01,2015-05-31 23:55:03
1103,Gárdonyi tér,47.4792799657,19.051489234,14.0,2015-01-01 00:00:01,2015-05-31 23:55:03
1104,Petőfi híd - Buda,47.4764156808,19.0589940548,22.0,2015-01-01 00:00:01,2015-05-31 23:55:03
1105,Kőrösy József utca,47.4759842116,19.0484905243,22.0,2015-01-01 00:00:01,2015-05-31 23:55:03
1106,Budafoki út - Schönherz Kollégium,47.473264787,19.0526533127,32.0,2015-01-01 00:00:01,2015-05-31 23:55:03
1107,Móricz Zsigmond körtér,47.4771299538,19.0475893021,22.0,2015-01-01 00:00:01,2015-05-31 23:55:03
1108,Pázmány Péter sétány - ELTE,47.473243031,19.0635967255,30.0,2015-01-01 00:00:01,2015-05-31 23:55:03
1301,Jászai Mari tér,47.5136029744,19.0480720997,15.0,2015-01-01 00:00:01,2015-05-31 23:55:03
1302,Szent István park,47.5180846928,19.0515160561,22.0,2015-01-01 00:00:01,2015-01-24 22:10:01
1302,Szent István park,47.518280329,19.0517038107,22.0,2015-01-24 22:15:01,2015-05-31 23:55:03
1303,Váci út - Victor Hugo utca,47.5174977798,19.0600079298,16.0,2015-01-01 00:00:01,2015-05-31 23:55:03
1304,Margitsziget ,47.5183491638,19.0448212624,30.0,2015-01-01 00:00:01,2015-05-31 23:55:03
1305,Pannónia utca - Raoul Wallenberg utca,47.5144906532,19.0525352955,15.0,2015-01-01 00:00:01,2015-05-31 23:55:03
1401,Széchenyi fürdő,47.5188454963,19.0813207626,22.0,2015-01-01 00:00:01,2015-05-31 23:55:03
